location_id,location_name,sex_name,age_group_id,age_group_name,year_id,sample_size,age_sex_split,outlier
376,Northern Mariana Islands,Male,16,55 to 59,2023,1321.7601386561018,no,no
376,Northern Mariana Islands,Male,17,60 to 64,2023,1683.0981752693838,no,no
376,Northern Mariana Islands,Male,18,65 to 69,2023,644.6362890600121,no,no
376,Northern Mariana Islands,Male,19,70 to 74,2023,707.1630263641453,no,no
376,Northern Mariana Islands,Male,20,75 to 79,2023,89.88433993741447,no,yes
376,Northern Mariana Islands,Male,30,80 to 84,2023,97.57938695050616,no,yes
376,Northern Mariana Islands,Male,31,85 to 89,2023,23.47785771562476,no,yes
376,Northern Mariana Islands,Male,32,90 to 94,2023,11.20033368741335,no,yes
376,Northern Mariana Islands,Male,235,95 plus,2023,1.1788936417570912,no,yes
376,Northern Mariana Islands,Female,9,20 to 24,2023,1764.35136996167,no,no
376,Northern Mariana Islands,Female,10,25 to 29,2023,1323.705764791936,no,no
376,Northern Mariana Islands,Female,11,30 to 34,2023,1611.4471317942223,no,no
376,Northern Mariana Islands,Female,12,35 to 39,2023,1597.158669878757,no,no
376,Northern Mariana Islands,Female,13,40 to 44,2023,1137.156843329582,no,no
376,Northern Mariana Islands,Female,14,45 to 49,2023,2544.2269255985057,no,no
376,Northern Mariana Islands,Female,15,50 to 54,2023,772.4106485415247,no,no
376,Northern Mariana Islands,Female,16,55 to 59,2023,2317.183250174113,no,no
376,Northern Mariana Islands,Female,17,60 to 64,2023,960.1821573992114,no,no
376,Northern Mariana Islands,Female,18,65 to 69,2023,895.7212551753613,no,no
376,Northern Mariana Islands,Female,19,70 to 74,2023,550.5862090569702,no,no
376,Northern Mariana Islands,Female,20,75 to 79,2023,114.51747501317035,no,yes
376,Northern Mariana Islands,Female,30,80 to 84,2023,85.69911454911293,no,yes
376,Northern Mariana Islands,Female,31,85 to 89,2023,54.21637881197084,no,yes
376,Northern Mariana Islands,Female,32,90 to 94,2023,18.426070805946157,no,yes
376,Northern Mariana Islands,Female,235,95 plus,2023,1.900900506691058,no,yes
380,Palau,Male,9,20 to 24,2023,662.4298925971059,yes,no
380,Palau,Male,10,25 to 29,2023,717.3141323879871,yes,no
380,Palau,Male,11,30 to 34,2023,771.3647343241823,yes,no
380,Palau,Male,12,35 to 39,2023,808.2164033930184,yes,no
380,Palau,Male,13,40 to 44,2023,839.6932010279426,yes,no
380,Palau,Male,14,45 to 49,2023,765.2375503271937,yes,no
380,Palau,Male,15,50 to 54,2023,707.2149510451005,yes,no
380,Palau,Male,16,55 to 59,2023,637.1897332583281,yes,no
380,Palau,Male,17,60 to 64,2023,554.0246827632594,yes,no
380,Palau,Male,18,65 to 69,2023,456.48425989884015,yes,no
380,Palau,Male,19,70 to 74,2023,286.9798000285479,yes,no
380,Palau,Male,20,75 to 79,2023,135.42853622310196,yes,no
380,Palau,Male,30,80 to 84,2023,48.023454184374,yes,no
380,Palau,Male,31,85 to 89,2023,19.13853366203448,yes,no
380,Palau,Male,32,90 to 94,2023,7.432521684015646,yes,yes
380,Palau,Male,235,95 plus,2023,1.650528303198573,yes,yes
380,Palau,Female,9,20 to 24,2023,531.7805518933452,yes,no
380,Palau,Female,10,25 to 29,2023,578.3824517704726,yes,no
380,Palau,Female,11,30 to 34,2023,601.1257117917838,yes,no
380,Palau,Female,12,35 to 39,2023,588.3212137525579,yes,no
380,Palau,Female,13,40 to 44,2023,620.544974203606,yes,no
380,Palau,Female,14,45 to 49,2023,597.0420236320574,yes,no
380,Palau,Female,15,50 to 54,2023,596.1164154558488,yes,no
380,Palau,Female,16,55 to 59,2023,560.6687265146833,yes,no
380,Palau,Female,17,60 to 64,2023,514.2125661815596,yes,no
380,Palau,Female,18,65 to 69,2023,437.92184245064686,yes,no
380,Palau,Female,19,70 to 74,2023,294.7863729554631,yes,no
380,Palau,Female,20,75 to 79,2023,146.65606828576315,yes,no
380,Palau,Female,30,80 to 84,2023,60.03214358123346,yes,no
380,Palau,Female,31,85 to 89,2023,20.119475741055727,yes,no
380,Palau,Female,32,90 to 94,2023,4.474472183155383,yes,yes
